company,position,location,schedule,responsibilities,requirements,levels,techstack,source,format,salary,currency,salary_range,format2,levels2
СБЕР,Delivery manager (SberDevices),Москва,Полный день,не определено,не определено,От 3 до 6 лет,"['Управление проектами', 'Системная интеграция']",hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
СБЕР,Руководитель направления анализа киберугроз в области идентификации и аутентификации,Москва,Полный день,не определено,не определено,От 3 до 6 лет,не определено,hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
NGENIX,"Разработчик Python (Middle, Senior)",Москва,Удаленная работа,не определено,не определено,От 3 до 6 лет,"['Python', 'PostgreSQL', 'SQL', 'MySQL', 'Scrum']",hh.ru,Удаленная работа,0.0,не определено,0,удаленка,От 3 до 6 лет
Lesta Games,Lead Marketing Manager,Санкт-Петербург,Полный день,не определено,не определено,От 3 до 6 лет,не определено,hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
Ozon,"Разработчик Go, Аккаунт продавца, Антифрод",Москва,Удаленная работа,не определено,не определено,От 3 до 6 лет,"['MySQL', 'PostgreSQL', 'machine learning', 'golang', 'go', 'C++', 'торговая площадка', 'it']",hh.ru,Удаленная работа,0.0,не определено,0,удаленка,От 3 до 6 лет
Инфосистемы Джет,Младший разработчик SQL,Москва,Полный день,не определено,не определено,От 1 года до 3 лет,"['SQL', 'MS SQL', 'Английский язык', 'Linux', 'Cистемы управления базами данных']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
QSOFT,Менеджер по подбору персонала IT,Москва,Полный день,не определено,не определено,От 1 года до 3 лет,"['Подбор персонала', 'Ведение переговоров', 'Recruitment', 'Коммуникативные навыки']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
Контакт,Financial Manager,Санкт-Петербург,Полный день,не определено,не определено,От 3 до 6 лет,"['Английский язык', 'Corporate Finance', 'MS PowerPoint', 'Business English', 'Financial Analysis', 'IFRS', 'Accounting', 'Financial Accounting']",hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
QSOFT,PHP-разработчик,Москва,Полный день,не определено,не определено,От 1 года до 3 лет,"['PHP', 'MySQL', 'Git', 'JavaScript', 'HTML']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
QSOFT,PHP-программист Laravel,Москва,Полный день,не определено,не определено,От 1 года до 3 лет,"['Git', 'jQuery', 'MySQL', 'JavaScript', 'PostgreSQL', 'PHP', 'HTML5', 'CSS', 'Laravel', 'Nuxt.js', 'Vue.js']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
